,ror cf
1277,0.645642202
1278,0.646502294
1279,0.681192661
1280,0.707855505
1281,0.711247009
1282,0.714703536
1283,0.683063015
1284,0.691571391
1285,0.684238552
1286,0.694355698
1287,0.717518637
1288,0.728168264
1289,0.698615548
1290,0.700745474
1291,0.692758253
1292,0.684504792
1293,0.684771033
1294,0.659211928
1295,0.680511182
1296,0.684771033
1297,0.684924222
1298,0.680935921
1299,0.673225206
1300,0.67455464
1301,0.685987769
1302,0.704068067
1303,0.721882478
1304,0.799255517
1305,0.807774228
1306,0.806975506
1307,0.690913936
1308,0.683453237
1309,0.70796696
1310,0.791100453
1311,0.770050626
1312,0.732214229
1313,0.788702371
1314,0.803090861
1315,0.794297895
1316,0.780175859
1317,0.796605675
1318,0.726597719
1319,0.703389831
1320,0.695709746
1321,0.660222458
1322,0.649629237
1323,0.667902542
1324,0.674925936
1325,0.669270132
1326,0.670616752
1327,0.789544597
1328,0.773672687
1329,0.786383682
1330,0.770672547
1331,0.777287762
1332,0.746416759
1333,0.714167585
1334,0.692668137
1335,0.678067318
1336,0.685411141
1337,0.702122016
1338,0.735809019
1339,0.721559268
1340,0.718111907
1341,0.717880795
1342,0.671258278
1343,0.687682119
1344,0.680794702
1345,0.674701987
1346,0.669933775
1347,0.667549669
1348,0.679735099
1349,0.692450331
1350,0.702172761
1351,0.764721485
1352,0.798207496
1353,0.819391635
1354,0.785714286
1355,0.786445367
1356,0.760165975
1357,0.767712277
1358,0.799080584
1359,0.797728502
1360,0.778779841
1361,0.76127321
1362,0.691858923
1363,0.688481675
1364,0.699031667
1365,0.784760408
1366,0.763488738
1367,0.690251572
1368,0.756289308
1369,0.693396226
1370,0.647012579
1371,0.661425577
1372,0.642033543
1373,0.666404612
1374,0.684748428
1375,0.710767619
1376,0.682543837
1377,0.688563203
1378,0.78984559
1379,0.789060455
1380,0.680711856
1381,0.713425805
1382,0.730437058
1383,0.690594708
1384,0.699685535
1385,0.730607966
1386,0.753668763
1387,0.709981661
1388,0.68306726
1389,0.692931937
1390,0.668761456
1391,0.638888889
1392,0.663784067
1393,0.665618449
1394,0.669025157
1395,0.666404612
1396,0.671907757
1397,0.688679245
1398,0.738993711
1399,0.760544931
1400,0.790844515
1401,0.815837937
1402,0.760063141
1403,0.711391739
1404,0.688563203
1405,0.688301492
1406,0.662041885
1407,0.662735849
1408,0.692872117
1409,0.772217879
1410,0.783184713
1411,0.71192053
1412,0.718066158
1413,0.717048346
1414,0.784423517
1415,0.685175751
1416,0.762743528
1417,0.777155057
1418,0.761142247
1419,0.744061916
1420,0.754203363
1421,0.764344809
1422,0.744862557
1423,0.767609392
1424,0.787046908
1425,0.818496802
1426,0.808635394
1427,0.759540966
1428,0.655457699
1429,0.644248732
1430,0.6567921
1431,0.67238806
1432,0.70199005
1433,0.787562189
1434,0.8
1435,0.708602685
1436,0.674782609
1437,0.698136646
1438,0.663683818
1439,0.639144491
1440,0.625124378
1441,0.620895522
1442,0.614925373
1443,0.63075
1444,0.61525
1445,0.6245
1446,0.653015075
1447,0.690027631
1448,0.702116807
1449,0.683754144
1450,0.690385106
1451,0.698493745
1452,0.763083993
1453,0.800357416
1454,0.776614756
1455,0.747255553
1456,0.756190962
1457,0.745468471
1458,0.728108246
1459,0.711734694
1460,0.798572157
1461,0.794492606
1462,0.797245601
1463,0.712024509
1464,0.649987235
1465,0.663773296
1466,0.675516977
1467,0.664539188
1468,0.651263722
1469,0.67628287
1470,0.772095463
1471,0.79905313
1472,0.772954486
1473,0.833464878
1474,0.821550591
1475,0.811628519
1476,0.818731913
1477,0.805051302
1478,0.797421731
1479,0.781636411
1480,0.799263352
